state,county,NAME,median_income,population,year
45,051,"Horry County, South Carolina",42877.0,265139,2011
45,055,"Kershaw County, South Carolina",43509.0,61010,2011
45,075,"Orangeburg County, South Carolina",33162.0,92503,2011
45,083,"Spartanburg County, South Carolina",43563.0,281777,2011
47,177,"Warren County, Tennessee",35575.0,39678,2011
47,179,"Washington County, Tennessee",42104.0,121458,2011
47,183,"Weakley County, Tennessee",33932.0,34692,2011
47,005,"Benton County, Tennessee",34152.0,16451,2011
47,007,"Bledsoe County, Tennessee",35137.0,12949,2011
47,013,"Campbell County, Tennessee",31337.0,40626,2011
47,015,"Cannon County, Tennessee",36742.0,13728,2011
47,083,"Houston County, Tennessee",34942.0,8338,2011
47,119,"Maury County, Tennessee",46552.0,80177,2011
48,373,"Polk County, Texas",36073.0,45653,2011
48,391,"Refugio County, Texas",42470.0,7381,2011
48,467,"Van Zandt County, Texas",42359.0,52483,2011
48,055,"Caldwell County, Texas",43136.0,37795,2011
48,487,"Wilbarger County, Texas",40050.0,13548,2011
48,317,"Martin County, Texas",42050.0,4704,2011
48,383,"Reagan County, Texas",58491.0,3343,2011
48,501,"Yoakum County, Texas",48173.0,7825,2011
48,189,"Hale County, Texas",39335.0,36108,2011
48,419,"Shelby County, Texas",34164.0,25513,2011
48,387,"Red River County, Texas",36969.0,12879,2011
48,399,"Runnels County, Texas",38556.0,10479,2011
48,435,"Sutton County, Texas",55122.0,4198,2011
48,451,"Tom Green County, Texas",43465.0,109135,2011
48,469,"Victoria County, Texas",49676.0,86410,2011
48,481,"Wharton County, Texas",43689.0,41083,2011
48,485,"Wichita County, Texas",44786.0,130835,2011
48,033,"Borden County, Texas",59643.0,620,2011
48,315,"Marion County, Texas",31903.0,10678,2011
48,323,"Maverick County, Texas",29504.0,53389,2011
48,181,"Grayson County, Texas",46993.0,119949,2011
48,297,"Live Oak County, Texas",45276.0,11482,2011
48,363,"Palo Pinto County, Texas",40385.0,27977,2011
48,255,"Karnes County, Texas",39297.0,14873,2011
48,123,"DeWitt County, Texas",43380.0,20052,2011
48,059,"Callahan County, Texas",45933.0,13497,2011
48,067,"Cass County, Texas",35592.0,30284,2011
48,183,"Gregg County, Texas",44608.0,120728,2011
48,313,"Madison County, Texas",37437.0,13533,2011
48,303,"Lubbock County, Texas",43983.0,274359,2011
48,257,"Kaufman County, Texas",60575.0,101197,2011
48,259,"Kendall County, Texas",72092.0,32642,2011
48,153,"Floyd County, Texas",35967.0,6507,2011
48,017,"Bailey County, Texas",41106.0,7079,2011
48,071,"Chambers County, Texas",72850.0,33486,2011
48,027,"Bell County, Texas",49466.0,302946,2011
48,061,"Cameron County, Texas",32156.0,400332,2011
48,117,"Deaf Smith County, Texas",41134.0,19225,2011
48,141,"El Paso County, Texas",38259.0,787410,2011
48,283,"La Salle County, Texas",25313.0,6800,2011
48,443,"Terrell County, Texas",41417.0,946,2011
48,457,"Tyler County, Texas",35847.0,21600,2011
48,483,"Wheeler County, Texas",48000.0,5316,2011
